"empresa","ano","retorno_anual","ceo","chairman","ibrx","ceo_chair"
"SAPR11",2011,NA,0,0,0,0
"SAPR11",2012,NA,0,0,0,0
"SAPR11",2013,NA,0,0,0,0
"SAPR11",2014,NA,0,0,0,0
"SAPR11",2015,NA,0,0,0,0
"SAPR11",2016,NA,0,0,0,0
"SAPR11",2017,-0.02,0,0,1,0
"SAPR11",2018,0.09,0,0,1,0
"SAPR11",2019,0.75,0,0,1,0
"CMIG4",2009,0.31,0,0,1,0
"CMIG4",2010,0.02,0,0,1,0
"CMIG4",2011,0.36,0,0,1,0
"CMIG4",2012,0.06,0,0,1,0
"CMIG4",2013,0,0,0,1,0
"CMIG4",2014,0.16,0,0,1,0
"CMIG4",2015,-0.52,0,0,1,0
"CMIG4",2016,0.4,0,0,1,0
"CMIG4",2017,-0.03,0,0,1,0
"CMIG4",2018,1.17,0,0,1,0
"CMIG4",2019,0.05,0,0,1,0
"CESP6",2009,0.62,0,0,1,0
"CESP6",2010,0.14,0,0,1,0
"CESP6",2011,0.25,0,0,1,0
"CESP6",2012,-0.39,0,0,1,0
"CESP6",2013,0.24,0,0,1,0
"CESP6",2014,0.34,0,0,1,0
"CESP6",2015,-0.37,0,0,1,0
"CESP6",2016,0.04,0,0,1,0
"CESP6",2017,0.01,0,0,1,0
"CESP6",2018,0.66,0,0,1,0
"CESP6",2019,0.52,0,0,1,0
"CPLE6",2009,0.63,0,0,1,0
"CPLE6",2010,0.14,0,0,1,0
"CPLE6",2011,-0.02,0,0,1,0
"CPLE6",2012,-0.17,0,0,1,0
"CPLE6",2013,0.03,0,0,1,0
"CPLE6",2014,0.26,0,0,1,0
"CPLE6",2015,-0.3,0,0,1,0
"CPLE6",2016,0.21,0,0,1,0
"CPLE6",2017,-0.01,0,0,1,0
"CPLE6",2018,0.33,0,0,1,0
"CPLE6",2019,1.37,0,0,1,0
"CSNA3",2009,1.08,0,0,1,0
"CSNA3",2010,-0.02,0,0,1,0
"CSNA3",2011,-0.41,0,0,1,0
"CSNA3",2012,-0.15,0,0,1,0
"CSNA3",2013,0.34,0,0,1,0
"CSNA3",2014,-0.6,0,0,1,0
"CSNA3",2015,-0.23,0,0,1,0
"CSNA3",2016,1.58,0,0,1,0
"CSNA3",2017,-0.23,0,0,1,0
"CSNA3",2018,0.05,0,0,1,0
"CSNA3",2019,0.71,0,0,1,0
